,貨幣,代碼,價格,一日,七日,總市值,成交量
81,GateToken,GT,3.58,-0.54%,-1.41%,387.66M,2.33M
82,Nexo,NEXO,0.67,0%,4.20%,376.87M,4.72M
83,Stacks,STX,0.273,1.49%,8.78%,368.63M,14.12M
84,Curve DAO Token,CRV,0.6474,-2.41%,-0.31%,344.39M,29.95M
85,Basic Attention Token,BAT,0.226,0.09%,-3.12%,337.62M,20.57M
86,1inch Network,1INCH,0.443,-0.67%,-11.22%,337.19M,17.58M
87,Lido DAO,LDO,1.041,-0.76%,-6.12%,326.36M,7.40M
88,Loopring,LRC,0.24517,-0.24%,-3.64%,324.93M,16.86M
89,ImmutableX,IMX,0.44,-0.38%,-7.13%,321.78M,8.67M
90,Casper,CSPR,0.0298,2.05%,0.33%,315.78M,3.50M
91,Decred,DCR,21.36,0.37%,-2.11%,310.38M,2.96M
92,Enjin Coin,ENJ,0.306,0.66%,-0.91%,306.67M,24.33M
93,Zilliqa,ZIL,0.022398,0.76%,-1.92%,305.46M,13.82M
94,Arweave,AR,8.94,-2.19%,-4.56%,299.31M,14.25M
95,Celo,CELO,0.62,3.68%,5.56%,298.81M,35.86M
96,Kava,KAVA,0.865,-0.69%,-5.02%,298.29M,26.06M
97,NEM (新經幣),XEM,0.03303,0.06%,-0.62%,297.43M,9.47M
98,Holo,HOT,0.001697,-1.66%,1.47%,295.11M,16.44M
99,Helium,HNT,4.67,0%,-6.92%,287.68M,1.36M
100,Compound,COMP,39.43,2.71%,4.36%,286.91M,21.83M
